Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
30/01/20,6:00 PM,Kerala,1,0,0,0,1
31/01/20,6:00 PM,Kerala,1,0,0,0,1
1/2/2020,6:00 PM,Kerala,2,0,0,0,2
2/2/2020,6:00 PM,Kerala,3,0,0,0,3
3/2/2020,6:00 PM,Kerala,3,0,0,0,3
4/2/2020,6:00 PM,Kerala,3,0,0,0,3
5/2/2020,6:00 PM,Kerala,3,0,0,0,3
6/2/2020,6:00 PM,Kerala,3,0,0,0,3
7/2/2020,6:00 PM,Kerala,3,0,0,0,3
8/2/2020,6:00 PM,Kerala,3,0,0,0,3
9/2/2020,6:00 PM,Kerala,3,0,0,0,3
10/2/2020,6:00 PM,Kerala,3,0,0,0,3
11/2/2020,6:00 PM,Kerala,3,0,0,0,3
12/2/2020,6:00 PM,Kerala,3,0,0,0,3
13/02/20,6:00 PM,Kerala,3,0,0,0,3
14/02/20,6:00 PM,Kerala,3,0,0,0,3
15/02/20,6:00 PM,Kerala,3,0,0,0,3
16/02/20,6:00 PM,Kerala,3,0,0,0,3
17/02/20,6:00 PM,Kerala,3,0,0,0,3
18/02/20,6:00 PM,Kerala,3,0,0,0,3
19/02/20,6:00 PM,Kerala,3,0,0,0,3
20/02/20,6:00 PM,Kerala,3,0,0,0,3
21/02/20,6:00 PM,Kerala,3,0,0,0,3
22/02/20,6:00 PM,Kerala,3,0,0,0,3
23/02/20,6:00 PM,Kerala,3,0,0,0,3
24/02/20,6:00 PM,Kerala,3,0,0,0,3
25/02/20,6:00 PM,Kerala,3,0,0,0,3
26/02/20,6:00 PM,Kerala,3,0,0,0,3
27/02/20,6:00 PM,Kerala,3,0,0,0,3
28/02/20,6:00 PM,Kerala,3,0,0,0,3
29/02/20,6:00 PM,Kerala,3,0,0,0,3
1/3/2020,6:00 PM,Kerala,3,0,0,0,3
2/3/2020,6:00 PM,Telengana,1,0,0,0,1
2/3/2020,6:00 PM,Kerala,3,0,0,0,3
2/3/2020,6:00 PM,Delhi,1,0,0,0,1
3/3/2020,6:00 PM,Telengana,1,0,0,0,1
3/3/2020,6:00 PM,Rajasthan,0,1,0,0,1
3/3/2020,6:00 PM,Kerala,3,0,3,0,3
3/3/2020,6:00 PM,Delhi,1,0,0,0,1
4/3/2020,6:00 PM,Uttar Pradesh,6,0,0,0,6
4/3/2020,6:00 PM,Kerala,3,0,3,0,3
4/3/2020,6:00 PM,Haryana,0,2,0,0,2
4/3/2020,6:00 PM,Delhi,1,0,0,0,1
4/3/2020,6:00 PM,Telengana,1,0,0,0,1
4/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
5/3/2020,6:00 PM,Delhi,2,0,0,0,2
5/3/2020,6:00 PM,Haryana,0,2,0,0,2
5/3/2020,6:00 PM,Kerala,3,0,3,0,3
5/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
5/3/2020,6:00 PM,Telengana,1,0,0,0,1
5/3/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
6/3/2020,6:00 PM,Delhi,3,0,0,0,3
6/3/2020,6:00 PM,Haryana,0,2,0,0,2
6/3/2020,6:00 PM,Kerala,3,0,3,0,3
6/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
6/3/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
6/3/2020,6:00 PM,Telengana,1,0,0,0,1
7/3/2020,6:00 PM,Kerala,3,0,3,0,3
7/3/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
7/3/2020,6:00 PM,Ladakh,2,0,0,0,2
7/3/2020,6:00 PM,Telengana,1,0,0,0,1
7/3/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
7/3/2020,6:00 PM,Delhi,3,0,0,0,3
7/3/2020,6:00 PM,Haryana,0,2,0,0,2
7/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
8/3/2020,6:00 PM,Ladakh,2,0,0,0,2
8/3/2020,6:00 PM,Telengana,1,0,0,0,1
8/3/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
8/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
8/3/2020,6:00 PM,Kerala,8,0,3,0,8
8/3/2020,6:00 PM,Haryana,0,2,0,0,2
8/3/2020,6:00 PM,Delhi,3,0,0,0,3
8/3/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
9/3/2020,6:00 PM,Ladakh,2,0,0,0,2
9/3/2020,6:00 PM,Karnataka,1,0,0,0,1
9/3/2020,6:00 PM,Kerala,9,0,3,0,9
9/3/2020,6:00 PM,Maharashtra,2,0,0,0,2
9/3/2020,6:00 PM,Punjab,1,0,0,0,1
9/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
